asn=902  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=902  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=5 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=907  	id=6   	Node	scanning on channel=20...[NODE]
asn=907  	id=7   	Node	scanning on channel=20...[NODE]
asn=936  	id=1   	RPL	DAO input from 2
asn=936  	id=1   	Node	Route added to destination node id: 2 through next hop node id: 2 in the routing table of node: 1
asn=936  	id=1   	TSCH	Orchestra: child added 2
asn=936  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=936  	id=1   	Node	Add cell in timeslot: 2 channel offset: 3 in slotframe: 3
asn=936  	id=1   	RPL	DAO ACK output 241 0
asn=936  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=2 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=936  	id=2   	TSCH	Orchestra: parent acked a DAO
asn=937  	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=937  	id=1   	Node	tx done from=1 source=1 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=970  	id=1   	Node	add neighbor id=3 [NODE]
asn=970  	id=1   	RPL	DIO input from 3
asn=970  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=6 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=970  	id=3   	RPL	parent switch: null -> 1
asn=970  	id=3   	RPL	Add default route method called with 1[ROUTE]
asn=970  	id=3   	RPL	add the default route via 1[ROUTE]
asn=970  	id=3   	RPL	prefix = 0, nexthop = 1
asn=970  	id=3   	Node	update time source called [NODE]
asn=1109 	id=5   	Node	scanning on channel=25...[NODE]
asn=1109 	id=6   	Node	scanning on channel=25...[NODE]
asn=1165 	id=4   	RPL	DIO output to -1
asn=1178 	id=1   	RPL	DIO input from 4
asn=1193 	id=5   	Node	add neighbor id=2 [NODE]
asn=1193 	id=5   	TSCH	joined/associated at 11.93 on receiving an EB packet from 2[NODE]
asn=1193 	id=5   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1193 	id=5   	Node	update time source called [NODE]
asn=1193 	id=5   	TSCH	Orchestra: new time source 2
asn=1193 	id=5   	Node	Add cell in timeslot: 2 channel offset: 0 in slotframe: 3
asn=1193 	id=5   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1193 	id=5   	Node	Add cell in timeslot: 2 channel offset: 7 in slotframe: 3
asn=1193 	id=5   	RPL	DIS output to -1
asn=1193 	id=6   	Node	add neighbor id=2 [NODE]
asn=1193 	id=6   	TSCH	joined/associated at 11.93 on receiving an EB packet from 2[NODE]
asn=1193 	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1193 	id=6   	Node	update time source called [NODE]
asn=1193 	id=6   	TSCH	Orchestra: new time source 2
asn=1193 	id=6   	Node	Add cell in timeslot: 2 channel offset: 0 in slotframe: 3
asn=1193 	id=6   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1193 	id=6   	Node	Add cell in timeslot: 2 channel offset: 8 in slotframe: 3
asn=1193 	id=6   	RPL	DIS output to -1
asn=1311 	id=7   	Node	scanning on channel=25...[NODE]
asn=1344 	id=2   	RPL	DIO output to -1
asn=1363 	id=3   	RPL	DAO output
asn=1364 	id=1   	RPL	DIO input from 2
asn=1364 	id=5   	RPL	DIO input from 2
